unicode_codepoint,sign_name,count,percentage,cumulative_percentage
U+106DE,LINEAR A SIGN A554,1,0.0149,98.6132
U+106CE,LINEAR A SIGN A535,1,0.0149,98.6281
U+106CF,LINEAR A SIGN A536,1,0.0149,98.6430
U+1072F,LINEAR A SIGN A657,1,0.0149,98.6579
U+106E4,LINEAR A SIGN A564,1,0.0149,98.6728
U+106CD,LINEAR A SIGN A534,1,0.0149,98.6877
U+10682,LINEAR A SIGN A342,1,0.0149,98.7027
U+10712,LINEAR A SIGN A617,1,0.0149,98.7176
U+10711,LINEAR A SIGN A616,1,0.0149,98.7325
U+106D7,LINEAR A SIGN A547,1,0.0149,98.7474
U+106D9,LINEAR A SIGN A549,1,0.0149,98.7623
U+10724,LINEAR A SIGN A644,1,0.0149,98.7772
U+106EE,LINEAR A SIGN A575,1,0.0149,98.7921
U+106D5,LINEAR A SIGN A542,1,0.0149,98.8070
U+106BF,LINEAR A SIGN A515,1,0.0149,98.8220
U+106B4,LINEAR A SIGN A502,1,0.0149,98.8369
U+106A6,LINEAR A SIGN A406-VAS,1,0.0149,98.8518
U+10683,LINEAR A SIGN A343,1,0.0149,98.8667
U+10684,LINEAR A SIGN A344,1,0.0149,98.8816
U+106B8,LINEAR A SIGN A506,1,0.0149,98.8965
U+106B7,LINEAR A SIGN A505,1,0.0149,98.9114
U+10678,LINEAR A SIGN A332,1,0.0149,98.9263
U+106F6,LINEAR A SIGN A583,1,0.0149,98.9412
U+10727,LINEAR A SIGN A648,1,0.0149,98.9562
U+106EF,LINEAR A SIGN A576,1,0.0149,98.9711
U+1071E,LINEAR A SIGN A634,1,0.0149,98.9860
U+10685,LINEAR A SIGN A345,1,0.0149,99.0009
U+10718,LINEAR A SIGN A623,1,0.0149,99.0158
U+10686,LINEAR A SIGN A346,1,0.0149,99.0307
U+106EB,LINEAR A SIGN A572,1,0.0149,99.0456
U+106FC,LINEAR A SIGN A589,1,0.0149,99.0605
U+106EC,LINEAR A SIGN A573,1,0.0149,99.0755
U+106D4,LINEAR A SIGN A541,1,0.0149,99.0904
U+10699,LINEAR A SIGN A365,1,0.0149,99.1053
U+1069A,LINEAR A SIGN A366,1,0.0149,99.1202
U+1069B,LINEAR A SIGN A367,1,0.0149,99.1351
U+1069C,LINEAR A SIGN A368,1,0.0149,99.1500
U+1069D,LINEAR A SIGN A369,1,0.0149,99.1649
U+10700,LINEAR A SIGN A595,1,0.0149,99.1798
U+10702,LINEAR A SIGN A598,1,0.0149,99.1948
U+10687,LINEAR A SIGN A347,1,0.0149,99.2097
U+1071B,LINEAR A SIGN A627,1,0.0149,99.2246
U+106CC,LINEAR A SIGN A532,1,0.0149,99.2395
U+10688,LINEAR A SIGN A348,1,0.0149,99.2544
U+10689,LINEAR A SIGN A349,1,0.0149,99.2693
U+1068A,LINEAR A SIGN A350,1,0.0149,99.2842
U+106B5,LINEAR A SIGN A503,1,0.0149,99.2991
U+106B6,LINEAR A SIGN A504,1,0.0149,99.3140
U+1071F,LINEAR A SIGN A637,1,0.0149,99.3290
U+106C7,LINEAR A SIGN A527,1,0.0149,99.3439
U+10667,LINEAR A SIGN A315,1,0.0149,99.3588
U+1069F,LINEAR A SIGN A371,1,0.0149,99.3737
U+10654,LINEAR A SIGN AB191,1,0.0149,99.3886
U+1068B,LINEAR A SIGN A351,1,0.0149,99.4035
U+106D3,LINEAR A SIGN A540,1,0.0149,99.4184
U+106C8,LINEAR A SIGN A528,1,0.0149,99.4333
U+10706,LINEAR A SIGN A603,1,0.0149,99.4483
U+10704,LINEAR A SIGN A601,1,0.0149,99.4632
U+10703,LINEAR A SIGN A600,1,0.0149,99.4781
U+10732,LINEAR A SIGN A660,1,0.0149,99.4930
U+1072D,LINEAR A SIGN A655,1,0.0149,99.5079
U+1072C,LINEAR A SIGN A654,1,0.0149,99.5228
U+106C4,LINEAR A SIGN A524,1,0.0149,99.5377
U+106A4,LINEAR A SIGN A404-VAS,1,0.0149,99.5526
U+10734,LINEAR A SIGN A662,1,0.0149,99.5676
U+10733,LINEAR A SIGN A661,1,0.0149,99.5825
U+106A5,LINEAR A SIGN A405-VAS,1,0.0149,99.5974
U+106E0,LINEAR A SIGN A556,1,0.0149,99.6123
U+106E1,LINEAR A SIGN A557,1,0.0149,99.6272
U+106E3,LINEAR A SIGN A563,1,0.0149,99.6421
U+106D8,LINEAR A SIGN A548,1,0.0149,99.6570
U+10735,LINEAR A SIGN A663,1,0.0149,99.6719
U+10722,LINEAR A SIGN A642,1,0.0149,99.6868
U+1068D,LINEAR A SIGN A353,1,0.0149,99.7018
U+106AC,LINEAR A SIGN A412-VAS,1,0.0149,99.7167
U+1068F,LINEAR A SIGN A355,1,0.0149,99.7316
U+1068E,LINEAR A SIGN A354,1,0.0149,99.7465
U+10690,LINEAR A SIGN A356,1,0.0149,99.7614
U+10691,LINEAR A SIGN A357,1,0.0149,99.7763
U+10692,LINEAR A SIGN A358,1,0.0149,99.7912
U+10693,LINEAR A SIGN A359,1,0.0149,99.8061
U+10694,LINEAR A SIGN A360,1,0.0149,99.8211
U+1066C,LINEAR A SIGN A320,1,0.0149,99.8360
U+10762,LINEAR A SIGN A802,1,0.0149,99.8509
U+10766,LINEAR A SIGN A806,1,0.0149,99.8658
U+10760,LINEAR A SIGN A800,1,0.0149,99.8807
U+10629,LINEAR A SIGN AB048,1,0.0149,99.8956
U+10761,LINEAR A SIGN A801,1,0.0149,99.9105
U+10714,LINEAR A SIGN A619,1,0.0149,99.9254
U+10715,LINEAR A SIGN A620,1,0.0149,99.9404
U+10695,LINEAR A SIGN A361,1,0.0149,99.9553
U+10701,LINEAR A SIGN A596,1,0.0149,99.9702
U+10696,LINEAR A SIGN A362,1,0.0149,99.9851
U+106DF,LINEAR A SIGN A555,1,0.0149,100.0000
